shortcode,post_url,username,text,created_at,text_clean,text_norm,tokens,tokens_clean,tokens_stem,final_text,label_emosi,text_length
DEUFt_4Pehx,https://www.instagram.com/p/DEUFt_4Pehx/,backtoresetprofileee,Seger e min cocok wes udan udan ngene,02/01/2025,seger e min cocok wes udan udan ngene,segar e admin cocok sudah udan udan ngene,"['segar', 'e', 'admin', 'cocok', 'sudah', 'udan', 'udan', 'ngene']","['segar', 'e', 'admin', 'cocok', 'udan', 'udan', 'ngene']","['segar', 'e', 'admin', 'cocok', 'udan', 'udan', 'ngene']",segar e admin cocok udan udan ngene,joy,7
DEUFt_4Pehx,https://www.instagram.com/p/DEUFt_4Pehx/,setiajit9,Wuiiiiih segerrrr rek😍,06/01/2025,wuiiiiih segerrrr rek,wih segar rek,"['wih', 'segar', 'rek']","['wih', 'segar', 'rek']","['wih', 'segar', 'rek']",wih segar rek,joy,3
DEjPMu5PyGM,https://www.instagram.com/p/DEjPMu5PyGM/,isminchi,"@stasiundangdutjtv Tiket nonton film Ambyar Mak Byare kekno aku wae min, emakku pengen ndelok pilm e Happy Asmara-Gilga iki ket iko,",08/01/2025,tiket nonton film ambyar mak byare kekno aku wae min emakku pengen ndelok pilm e happy asmaragilga iki ket iko,tiket nonton film ambyar mak byare kekno saya wae admin emakku pengen ndelok pilm e happy asmaragilga ini ket iko,"['tiket', 'nonton', 'film', 'ambyar', 'mak', 'byare', 'kekno', 'saya', 'wae', 'admin', 'emakku', 'pengen', 'ndelok', 'pilm', 'e', 'happy', 'asmaragilga', 'ini', 'ket', 'iko']","['tiket', 'nonton', 'film', 'ambyar', 'mak', 'byare', 'kekno', 'wae', 'admin', 'emakku', 'pengen', 'ndelok', 'pilm', 'e', 'happy', 'asmaragilga', 'ket', 'iko']","['tiket', 'nonton', 'film', 'ambyar', 'mak', 'byare', 'kekno', 'wae', 'admin', 'emakku', 'ken', 'ndelok', 'pilm', 'e', 'happy', 'asmaragilga', 'ket', 'iko']",tiket nonton film ambyar mak byare kekno wae admin emakku ken ndelok pilm e happy asmaragilga ket iko,joy,18
DEjPMu5PyGM,https://www.instagram.com/p/DEjPMu5PyGM/,dapur_scp,Aku pok o min tak ndelok ben gak.umek pawon ae ben isok joget2  pisan 😂,08/01/2025,aku pok o min tak ndelok ben gakumek pawon ae ben isok joget pisan,saya pok o admin tidak ndelok agar gakumek pawon saja agar isok joget pisan,"['saya', 'pok', 'o', 'admin', 'tidak', 'ndelok', 'agar', 'gakumek', 'pawon', 'saja', 'agar', 'isok', 'joget', 'pisan']","['pok', 'admin', 'ndelok', 'gakumek', 'pawon', 'isok', 'joget', 'pisan']","['pok', 'admin', 'ndelok', 'gakumek', 'pawon', 'isok', 'joget', 'pis']",pok admin ndelok gakumek pawon isok joget pis,joy,8
DEjPMu5PyGM,https://www.instagram.com/p/DEjPMu5PyGM/,jamilprimanada,"Ya Allah .... doa ku hari ini 

"" mugo mugo oleh ticket nonton AMBYAR MAKPYAR GRATIS Tis tis tiss...,"" pengen ngerasakno dingin nya AC BIOSKOP sama nonton AMBYAR MAKPYAR""😂

Dengarkan doa hamba Ya Allah...aamiin aamiin aamiin....

@stasiundangdutjtv 
#ambyarmakpyar 
#stasiundangdut_jtv_surabaya",08/01/2025,ya allah doa ku hari ini mugo mugo oleh ticket nonton ambyar makpyar gratis tis tis tiss pengen ngerasakno dingin nya ac bioskop sama nonton ambyar makpyar dengarkan doa hamba ya allahaamiin aamiin aamiin,ya allah doa ku hari ini mugo mugo oleh ticket nonton ambyar makpyar gratis tis tis tiss pengen ngerasakno dingin nya ac bioskop sama nonton ambyar makpyar dengarkan doa hamba ya allahaamiin aamiin aamiin,"['ya', 'allah', 'doa', 'ku', 'hari', 'ini', 'mugo', 'mugo', 'oleh', 'ticket', 'nonton', 'ambyar', 'makpyar', 'gratis', 'tis', 'tis', 'tiss', 'pengen', 'ngerasakno', 'dingin', 'nya', 'ac', 'bioskop', 'sama', 'nonton', 'ambyar', 'makpyar', 'dengarkan', 'doa', 'hamba', 'ya', 'allahaamiin', 'aamiin', 'aamiin']","['ya', 'allah', 'doa', 'ku', 'mugo', 'mugo', 'ticket', 'nonton', 'ambyar', 'makpyar', 'gratis', 'tis', 'tis', 'tiss', 'pengen', 'ngerasakno', 'dingin', 'nya', 'ac', 'bioskop', 'nonton', 'ambyar', 'makpyar', 'dengarkan', 'doa', 'hamba', 'ya', 'allahaamiin', 'aamiin', 'aamiin']","['ya', 'allah', 'doa', 'ku', 'mugo', 'mugo', 'ticket', 'nonton', 'ambyar', 'makpyar', 'gratis', 'tis', 'tis', 'tiss', 'ken', 'ngerasakno', 'dingin', 'nya', 'ac', 'bioskop', 'nonton', 'ambyar', 'makpyar', 'dengar', 'doa', 'hamba', 'ya', 'allahaamiin', 'aamiin', 'aamiin']",ya allah doa ku mugo mugo ticket nonton ambyar makpyar gratis tis tis tiss ken ngerasakno dingin nya ac bioskop nonton ambyar makpyar dengar doa hamba ya allahaamiin aamiin aamiin,joy,30
DEmWS4qvCo-,https://www.instagram.com/p/DEmWS4qvCo-/,tiww.aja,Seru bgt❤️,10/01/2025,seru bgt,seru banget,"['seru', 'banget']","['seru', 'banget']","['seru', 'banget']",seru banget,joy,2
DD_4HpkyMyp,https://www.instagram.com/p/DD_4HpkyMyp/,hjs.yii,"Love you JTV, terimakasih telah menerima kami❤️",10/01/2025,love you jtv terimakasih telah menerima kami,cinta you jtv terima kasih telah menerima kami,"['cinta', 'you', 'jtv', 'terima', 'kasih', 'telah', 'menerima', 'kami']","['cinta', 'jtv', 'terima', 'kasih', 'menerima']","['cinta', 'jtv', 'terima', 'kasih', 'terima']",cinta jtv terima kasih terima,joy,5
DEmWS4qvCo-,https://www.instagram.com/p/DEmWS4qvCo-/,dapurmarem_,JD pingin kesana ya,10/01/2025,jd pingin kesana ya,jadi pingin kesana ya,"['jadi', 'pingin', 'kesana', 'ya']","['pingin', 'kesana', 'ya']","['pingin', 'kesana', 'ya']",pingin kesana ya,joy,3
DEpPUlpS-lT,https://www.instagram.com/p/DEpPUlpS-lT/,adi__widy,Next bintang tamunya LALA WIDY,10/01/2025,next bintang tamunya lala widy,next bintang tamunya lala widy,"['next', 'bintang', 'tamunya', 'lala', 'widy']","['next', 'bintang', 'tamunya', 'lala', 'widy']","['next', 'bintang', 'tamu', 'lala', 'widy']",next bintang tamu lala widy,netral,5
DEpPUlpS-lT,https://www.instagram.com/p/DEpPUlpS-lT/,aldin.ramuzt_44,Min request lagu andai tak terpisah,11/01/2025,min request lagu andai tak terpisah,admin request lagu andai tidak terpisah,"['admin', 'request', 'lagu', 'andai', 'tidak', 'terpisah']","['admin', 'request', 'lagu', 'andai', 'terpisah']","['admin', 'request', 'lagu', 'andai', 'pisah']",admin request lagu andai pisah,netral,5
